"카테고리","No","제품 ID","제품명","설명","데이터시트 URL"
"External antennas","170","YECT103W7AH","YECT103W7AH","5G terminal mount rubber dipole external antenna",""
"External antennas","171","YECW000N1A","YECW000N1A","4G screw mount low profile PIFA external antenna",""
"External antennas","172","YEGB000Q1A","YEGB000Q1A","GNSS L1 & L5 adhesive & magnetic mount low profile active external antenna",""
"External antennas","173","YEGB000Q1C","YEGB000Q1C","GNSS L1 adhesive & magnetic mount low profile active external antenna",""
"External antennas","174","YEGB001Q1A","YEGB001Q1A","GNSS L1 & L5 adhesive & magnetic mount low profile active external antenna",""
"External antennas","175","YEGN000Q1A","YEGN000Q1A","GNSS L1 & L5 bracket mount low profile active external antenna",""
"External antennas","176","YEGN001Q1A","YEGN001Q1A","GNSS L1 & L5 bracket mount low profile active external antenna",""
"External antennas","177","YEGN103W8A","YEGN103W8A","GNSS magnetic mount low profile active external antenna",""
"External antennas","178","YEGR001W8AH","YEGR001W8AH","GNSS terminal mount low profile active external antenna",""
"External antennas","179","YEGT000W8A","YEGT000W8A","GNSS screw mount low profile active external antenna",""
"External antennas","180","YEGT001W1AM","YEGT001W1AM","GNSS terminal mount rubber passive external antenna",""
"External antennas","181","YEGT002W1AM","YEGT002W1AM","GNSS terminal mount rubber passive external antenna",""
"External antennas","182","YEGT003W1AM","YEGT003W1AM","GNSS terminal mount rubber passive external antenna",""
"External antennas","183","YEMA004AA","YEMA004AA","4G & Wi-Fi 2in1 screw mount Combo external antenna",""
"External antennas","184","YEMA013AA","YEMA013AA","5G & GNSS 9in1 adhesive mount Combo external antenna",""
"External antennas","185","YEMA300QXA","YEMA300QXA","4G & Wi-Fi & GNSS 3in1 adhesive mount Combo external antenna",""
"External antennas","186","YEMD301L1A","YEMD301L1A","4G & GNSS 3in1 multiple mount Combo external antenna",""
"External antennas","187","YEMD301L1B","YEMD301L1B","4G & GNSS 3in1 multiple mount Combo external antenna",""
"External antennas","188","YEMD302L1A","YEMD302L1A","4G & Wi-Fi & GNSS 3in1 multiple mount Combo external antenna",""
"External antennas","189","YEMD302L1B","YEMD302L1B","4G & Wi-Fi & GNSS 3in1 multiple mount Combo external antenna",""
"External antennas","190","YEMN016AA","YEMN016AA","5G & GNSS 5in1 screw mount Combo external antenna",""
"External antennas","191","YEMN017AA","YEMN017AA","5G & GNSS 5in1 screw mount Combo external antenna",""
"External antennas","192","YEMN117L1B","YEMN117L1B","4G screw mount low profile monopole external antenna",""
"External antennas","193","YEMN210J1AH","YEMN210J1AH","5G & Wi-Fi 2in1 screw mount Combo external antenna",""
"External antennas","194","YEMN302Q1A","YEMN302Q1A","4G & GNSS 3in1 screw mount Combo external antenna",""
"External antennas","195","YEMN701J1AH","YEMN701J1AH","5G & GNSS 7in1 screw mount Combo external antenna",""
"External antennas","196","YEMN926J1A","YEMN926J1A","5G & GNSS 9in1 screw mount Combo external antenna",""
"External antennas","197","YEMX223J1A","YEMX223J1A","5G 2in1 multiple mount Combo external antenna",""
"External antennas","198","YEMX425J1A","YEMX425J1A","5G 4in1 multiple mount Combo external antenna",""
"External antennas","199","YENA001L1AH","YENA001L1AH","LPWA/ISM adhesive mount whip monopole external antenna",""
"External antennas","200","YENM001L1AH","YENM001L1AH","LPWA/ISM magnetic mount whip monopole external antenna",""
"External antennas","201","YENT000W1AM","YENT000W1AM","LPWA/ISM terminal mount rubber monopole external antenna",""
"External antennas","202","YENT001W1AM","YENT001W1AM","LPWA/ISM terminal mount whip monopole external antenna",""
"External antennas","203","YENT002W1AM","YENT002W1AM","LPWA/ISM terminal mount whip dipole external antenna",""
"External antennas","204","YEWN004AA","YEWN004AA","Wi-Fi 2in1 screw mount Combo external antenna",""
"Cables","205","YEGX000Q1AM","YEGX000Q1AM","DC~6GHz SMA male to TNC male cable Cables & Connectors  |  Cables",""
"Cables","206","YLUX013XQA","YLUX013XQA","DC~6GHz SMA male to SMA female cable",""
"Cables","207","YLUX013XQB","YLUX013XQB","DC~6GHz SMA male to SMA female cable",""
"Cables","208","YLUX013XQC","YLUX013XQC","DC~6GHz SMA male to SMA female cable",""
"Cables","209","YLUX013XQD","YLUX013XQD","DC~6GHz SMA male to SMA female cable",""
"Cables","210","YLUX013XQE","YLUX013XQE","DC~6GHz SMA male to SMA female cable Cables & Connectors  |  Cables 89",""
"Cables","211","YLUX013XQF","YLUX013XQF","DC~6GHz SMA male to SMA female cable",""
"Cables","212","YLUX013XQG","YLUX013XQG","DC~6GHz SMA male to SMA female cable",""
"Cables","213","YLUX013XQH","YLUX013XQH","DC~6GHz SMA male to SMA female cable",""
"Cables","214","YLUX013XQJ","YLUX013XQJ","DC~6GHz SMA male to SMA female cable Cables & Connectors  |  Cables 90",""
"Cables","215","YLUX013XQK","YLUX013XQK","DC~6GHz SMA male to SMA female cable",""
"Cables","216","YLUX013XQL","YLUX013XQL","DC~6GHz SMA male to SMA female cable",""
"Cables","217","YLUX013XQM","YLUX013XQM","DC~6GHz SMA male to SMA female cable",""
"Cables","218","YLUX013XQN","YLUX013XQN","DC~2GHz SMA male to SMA female cable",""
"Cables","219","YLUX013XQP","YLUX013XQP","DC~2GHz SMA male to SMA female cable",""
"Cables","220","YLUX013XQQ","YLUX013XQQ","DC~6GHz SMA male to SMA female cable Cables & Connectors  |  Cables 91",""
"Cables","221","YLUX013XQR","YLUX013XQR","DC~2GHz SMA male to SMA female cable",""
"Cables","222","YLUX016XQA","YLUX016XQA","DC~6GHz SMA male to SMA female cable",""
"Cables","223","YLUX016XQB","YLUX016XQB","DC~6GHz SMA male to SMA female cable",""
"Cables","224","YLUX016XQC","YLUX016XQC","DC~6GHz SMA male to SMA female cable Cables & Connectors  |  Cables 92",""
"Cables","225","YLUX016XQD","YLUX016XQD","DC~6GHz SMA male to SMA female cable",""
"Cables","226","YLUX016XQE","YLUX016XQE","DC~6GHz SMA male to SMA female cable",""
"Cables","227","YLUX016XQF","YLUX016XQF","DC~6GHz SMA male to SMA female cable",""
"Cables","228","YLUX016XQG","YLUX016XQG","DC~6GHz SMA male to SMA female cable",""
"Cables","229","YLUX016XQH","YLUX016XQH","DC~6GHz SMA male to SMA female cable",""
"Cables","230","YLUX016XQJ","YLUX016XQJ","DC~6GHz SMA male to SMA female cable Cables & Connectors  |  Cables 93",""
"Cables","231","YLUX016XQK","YLUX016XQK","DC~6GHz SMA male to SMA female cable",""
"Cables","232","YLUX016XQL","YLUX016XQL","DC~6GHz SMA male to SMA female cable",""
